year,Pakistan_total_emigrants,India_total_emigrants,Bangladesh_total_emigrants,Sri_Lanka_total_emigrants,Nepal_total_emigrants,South_Asia_total
1990,3410000,6800000,4300000,800000,750000,16060000
1995,3700000,7800000,4800000,950000,870000,18120000
2000,4160000,8990000,5400000,1100000,900000,20550000
2005,4740000,10700000,5800000,1350000,1100000,23690000
2010,5360000,13200000,6500000,1500000,1900000,28460000
2015,5960000,15600000,7200000,1700000,2800000,33260000
2020,6320000,17900000,7800000,1800000,3200000,37020000
2024,6900000,18400000,8700000,1900000,3700000,39600000
